chain,track,source,model,seed,reporting_budget,model_value_capture,oracle_value_capture,oracle_gap_value_capture,headroom_kusd,total_observed_late_value_kusd,group_model_macro_value_capture,group_oracle_macro_value_capture,group_oracle_gap_macro_value_capture,group_model_pooled_value_capture,group_oracle_pooled_value_capture
sheep,a,cpu,gravity,,500,0.0893173530915272,0.9835059672072142,0.894188614115687,303996.7431999999,339969.3738,0.22826770469933574,0.9525676652748929,0.7242999605755572,0.15990112283461225,0.8927315328660939
sheep,a,cpu,historical_logistic_size_gravity,,500,0.25511325691067294,0.9835059672072142,0.7283927102965413,247631.21359999993,339969.3738,0.21168050343277195,0.9525676652748929,0.7408871618421212,0.21829355382952442,0.8927315328660939
sheep,a,cpu,size,,500,0.2499064420137482,0.9835059672072142,0.7335995251934659,249401.37119999994,339969.3738,0.23201302367031867,0.9525676652748929,0.7205546416045745,0.23767676863603415,0.8927315328660939
sheep,a,kge,RotatE,0,500,0.1959936510022186,0.9835059672072142,0.7875123162049955,267730.0689999999,339969.3738,0.3187593282163663,0.9525676652748929,0.6338083370585267,0.20987005506553075,0.8927315328660939
sheep,a,kge,RotatE,1,500,0.15351511054258382,0.9835059672072142,0.8299908566646303,282171.47179999994,339969.3738,0.2915570058764256,0.9525676652748929,0.6610106593984675,0.18895692186023613,0.8927315328660939
sheep,a,kge,RotatE,2,500,0.14013303394801263,0.9835059672072142,0.8433729332592015,286720.96799999994,339969.3738,0.31775359278560217,0.9525676652748929,0.634814072489291,0.21411688701942722,0.8927315328660939
sheep,a,kge,RotatE,3,500,0.21405524970261308,0.9835059672072142,0.769450717504601,261589.67859999993,339969.3738,0.3976914972482034,0.9525676652748929,0.5548761680266897,0.32544050237033445,0.8927315328660939
sheep,a,kge,RotatE,4,500,0.13378541334948918,0.9835059672072142,0.849720553857725,288878.96459999995,339969.3738,0.32122675882707313,0.9525676652748929,0.63134090644782,0.19266096256815238,0.8927315328660939
sheep,a,nbfnet,NBFNet,0,500,0.14995717417178714,0.9835059672072142,0.8335487930354271,283381.06119999994,339969.3738,0.35351480077969344,0.9525676652748929,0.5990528644951995,0.20040007203731247,0.8927315328660939
sheep,a,nbfnet,NBFNet,1,500,0.16077818830867877,0.9835059672072142,0.8227277788985354,279702.2477999999,339969.3738,0.38230614538389784,0.9525676652748929,0.570261519890995,0.21234824829388801,0.8927315328660939
sheep,a,nbfnet,NBFNet,2,500,0.09256063523684378,0.9835059672072142,0.8909453319703704,302894.12659999996,339969.3738,0.32354801630388386,0.9525676652748929,0.629019648971009,0.14620442201726355,0.8927315328660939
sheep,a,nbfnet,NBFNet,3,500,0.12816737317530688,0.9835059672072142,0.8553385940319073,290788.9261999999,339969.3738,0.30856867630339113,0.9525676652748929,0.6439989889715018,0.1443370926372545,0.8927315328660939
sheep,a,nbfnet,NBFNet,4,500,0.17333732606945787,0.9835059672072142,0.8101686411377563,275432.52559999994,339969.3738,0.37643660164081727,0.9525676652748929,0.5761310636340758,0.19819488222382933,0.8927315328660939
sheep,b1,cpu,historical_logistic_structural,,50,0.07226853251149615,1.0000000000000002,0.9277314674885041,24043.495800000004,25916.4388,0.601114905361439,0.9843188936354215,0.38320398827398244,0.3740997933713023,0.9860344701371548
