threshold_kusd,chain,task,candidate_count,positive_count,base_rate,candidate_key_sha256,positive_key_sha256,candidate_overlap_vs_100_intersection,candidate_overlap_vs_100_left_only,candidate_overlap_vs_100_reference_only,candidate_overlap_vs_100_union,candidate_overlap_vs_100_jaccard,candidate_overlap_vs_100_retention_vs_reference,positive_overlap_vs_100_intersection,positive_overlap_vs_100_left_only,positive_overlap_vs_100_reference_only,positive_overlap_vs_100_union,positive_overlap_vs_100_jaccard,positive_overlap_vs_100_retention_vs_reference
50,oilseed-soy,a,40588,1226,0.03020597220853454,f4af7d14d638fa56b13f420dabf25d663423e355cf9c76c4f6f06217ee6ad38a,a1b8ff9b5990325b5529767d28975a8f6645a60264ed311f0639f365f11515a2,34104,6484,444,41032,0.831156170793527,0.9871483153872872,913,313,121,1347,0.6778025241276912,0.8829787234042553
50,oilseed-soy,b1,90,31,0.34444444444444444,fdba7f03c442856be19321059beff8b85166ba241adf76b9176bc6a7d81edefc,64965ef596725497b5b889b2c92c2fd07595b2a0a54d272bfe2e4989bcc62a8b,74,16,12,102,0.7254901960784313,0.8604651162790697,27,4,7,38,0.7105263157894737,0.7941176470588235
50,oilseed-soy,b2,4687,68,0.014508214209515681,c8cdbc5848a584c6aad9c4a0202e70be3f5323189e0a5fde62fb5daf6b8fbd70,d5ec69160cb60a43f06f2b32d0127f2008ae0100e5425006b6dc4cb8712c408f,3835,852,941,5628,0.6814143567874911,0.8029731993299832,52,16,22,90,0.5777777777777777,0.7027027027027027
100,sheep,a,15153,552,0.03642843001385864,26c38d9224dcbf1f37227e79fb36e27857a0e07be87a471d3b5384ae195007da,55fb7e9d3de277b8ecef3ef56ab3e630ca53955528eb4e39c8e03078df76d073,15153,0,0,15153,1.0,1.0,552,0,0,552,1.0,1.0
100,sheep,b1,134,20,0.14925373134328357,8ba0aa940a16f1514ab8be3490453b8de8dd137107b81740260896edfff23113,6f6cb478883043e4bf0a7fa8128d0071f171d4d5c94b838e9fc991993a5a849e,134,0,0,134,1.0,1.0,20,0,0,20,1.0,1.0
100,sheep,b2,1999,46,0.02301150575287644,30f5087a48025d9b1c4aede1698152e0cd8a35214889757c97b2f2d93f0bb154,1c92fe01a14a45f830b903193c048655ac0685afcadfcf42978177535b4b8079,1999,0,0,1999,1.0,1.0,46,0,0,46,1.0,1.0
100,cotton,a,108040,3084,0.028544983339503886,6f58246e59689850049a5b35bd31baeb098be2b8255a3d341f899f15fa543e3b,7b80a9b5102a5aaa68ce2f9014f9813c7e1d10ecdffb433647a78eac5cac181c,108040,0,0,108040,1.0,1.0,3084,0,0,3084,1.0,1.0
100,cotton,b1,320,36,0.1125,50ba9b8510ef6a53685490da709ca50a8fe31ee49883cc508ef3701e69b08220,b2f1ca1ee31d678dd8957bee31bebfbce43790c99e8acee1c45fc12272406ab3,320,0,0,320,1.0,1.0,36,0,0,36,1.0,1.0
100,cotton,b2,5549,44,0.007929356640836186,eebe266356413af02b0fce5ca10e9b27daccccbae0741e2b86f0a9d1ae99613f,aa987401dea718c3f5a66e32190fae3be256a055160af39280039fac2cdea076,5549,0,0,5549,1.0,1.0,44,0,0,44,1.0,1.0
100,aluminium,a,81212,3487,0.042937004383588634,1d1424974e0fe791ef1fb38ea39a28a0028f4c2fe76688f52bc0312acc02a9be,e01f617e07bd04caa7ebbcc4887a81fd610bac354e6389576ddc073ef5690983,81212,0,0,81212,1.0,1.0,3487,0,0,3487,1.0,1.0
