row_type,chain,task,reference_family,headline_metric,headline_value,value_metric,value_value,higher,equal,lower,reference_unweighted_six_chain_mean,abstract_side,same_side_of_both_chain_count,eligible_for_abstract_mention,config_sha256,formal_controller_sha256,generator_tool_sha256,trained_reference_summary_sha256,formal_receipt_set_sha256,run_id,protocol
chain_task,cocoa,B1,,entry_average_precision,0.39658314798549354,entry_value_capture_at_50,0.55499269729701894,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
chain_task,oilseed-soy,B1,,entry_average_precision,0.48273813219535977,entry_value_capture_at_50,0.74526772105325334,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
chain_task,sheep,B2,,conditional_recall_at_3,0.016666666666666666,conditional_value_capture_at_3,0.020465049112881308,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
chain_task,cotton,B2,,conditional_recall_at_3,0.027777777777777776,conditional_value_capture_at_3,0.027777777777777776,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
chain_task,aluminium,B2,,conditional_recall_at_3,0.039367816091954021,conditional_value_capture_at_3,0.037480558412259071,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
chain_task,nickel,B2,,conditional_recall_at_3,0.096396658896658896,conditional_value_capture_at_3,0.090670589250052877,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
chain_task,cocoa,B2,,conditional_recall_at_3,0.023809523809523808,conditional_value_capture_at_3,0.023809523809523808,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
chain_task,oilseed-soy,B2,,conditional_recall_at_3,0.093137254901960786,conditional_value_capture_at_3,0.089963039394480304,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
task_summary,__six_chain_mean__,A,,lane_average_precision,0.059251727441747525,value_capture_at_500,0.028185406045888192,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
reference_comparison,__all__,A,kge,lane_average_precision,,,,0,0,6,0.17967922490959512,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
reference_comparison,__all__,A,nbfnet,lane_average_precision,,,,0,0,6,0.15012323008705655,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
abstract_rule,__all__,A,,lane_average_precision,0.059251727441747525,,,,,,,lower,6,true,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
task_summary,__six_chain_mean__,B1,,entry_average_precision,0.35108939943350226,entry_value_capture_at_50,0.49645887628510699,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
reference_comparison,__all__,B1,kge,entry_average_precision,,,,1,0,5,0.39520455228907841,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
reference_comparison,__all__,B1,nbfnet,entry_average_precision,,,,4,0,2,0.28293809548811699,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
abstract_rule,__all__,B1,,entry_average_precision,0.35108939943350226,,,,,,,inside_reference_mean_interval,0,false,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
task_summary,__six_chain_mean__,B2,,conditional_recall_at_3,0.049525949690756993,conditional_value_capture_at_3,0.048361089626162528,,,,,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
reference_comparison,__all__,B2,kge,conditional_recall_at_3,,,,0,0,6,0.21468176659691196,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
reference_comparison,__all__,B2,nbfnet,conditional_recall_at_3,,,,0,0,6,0.37574352777770059,,,,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
abstract_rule,__all__,B2,,conditional_recall_at_3,0.049525949690756993,,,,,,,lower,6,true,69fb32eb4693a76dffa1c0ea0aafc2d055d624c8a6e9c1cb23ebb7381007efb9,91e7341beb19dca34ab927dbfd27f6cbcc68c1afa823d0143ab8b4f66d846636,84ec9fa5b5f4d16273bd9adf3eaa3caa23090b4d491674f789ef900b1bfe4e4f,5978ca62462f68ffc93054fd1c448ee768646ec82a8b61b5d843d56559193acd,2d6a22f48865eb3a1fc33e92a6ce972223cf1df01a86206af37cc40998da6bfa,ultra-4g-zero-shot-fixed-20260717-r4,upgrade-bench-v2/ultra-4g-zero-shot/2
