chain,sensitivity,slice,track,model,status,n,positives,clusters_or_entry_groups,primary_metric,primary_value,ci95_low,ci95_high,cluster_unit
cocoa,entity_exclusion,exclude_hubs,B2,processed_importer_demand,complete,5024,60,37,macro_recall_at_3,0.2216216216216216,0.10527027027027026,0.3761486486486488,exporter_stage_entry
cocoa,entity_exclusion,exclude_hubs,B2,gravity,complete,5024,60,37,macro_recall_at_3,0.35765765765765767,0.24031531531531533,0.4982657657657658,exporter_stage_entry
cocoa,entity_exclusion,exclude_hubs,B2,historical_logistic_demand_gravity,complete,5024,60,37,macro_recall_at_3,0.3846846846846847,0.26184684684684684,0.514864864864865,exporter_stage_entry
cocoa,entity_exclusion,exclude_bad_iso,A,size,complete,54026,2552,88,average_precision,0.1888506633846059,0.1584320607206694,0.22183056728039227,exporter
cocoa,entity_exclusion,exclude_bad_iso,A,gravity,complete,54026,2552,88,average_precision,0.17540441534520965,0.15038644436700654,0.19960579978872672,exporter
cocoa,entity_exclusion,exclude_bad_iso,A,historical_logistic_size_gravity,complete,54026,2552,88,average_precision,0.20618042697546898,0.1750659709163687,0.23828901743634923,exporter
cocoa,entity_exclusion,exclude_bad_iso,B1,upstream_capacity,complete,277,42,74,average_precision,0.292558606144657,0.1708628044176572,0.4236953202359237,exporter
cocoa,entity_exclusion,exclude_bad_iso,B1,historical_logistic_structural,complete,277,42,74,average_precision,0.5341015206173969,0.3844965553089484,0.7128831598013902,exporter
cocoa,entity_exclusion,exclude_bad_iso,B2,processed_importer_demand,complete,5855,72,42,macro_recall_at_3,0.20119047619047617,0.08925595238095238,0.3369642857142857,exporter_stage_entry
cocoa,entity_exclusion,exclude_bad_iso,B2,gravity,complete,5855,72,42,macro_recall_at_3,0.326984126984127,0.22678571428571428,0.4620138888888889,exporter_stage_entry
cocoa,entity_exclusion,exclude_bad_iso,B2,historical_logistic_demand_gravity,complete,5855,72,42,macro_recall_at_3,0.35079365079365077,0.21897817460317456,0.49743055555555565,exporter_stage_entry
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,A,size,complete,47244,1966,81,average_precision,0.1747870188815183,0.13903508591646344,0.2079202199137399,exporter
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,A,gravity,complete,47244,1966,81,average_precision,0.167401061787717,0.1384528297995037,0.1963303000206669,exporter
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,A,historical_logistic_size_gravity,complete,47244,1966,81,average_precision,0.19374942219346802,0.1613947575316347,0.22481076821343335,exporter
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,B1,upstream_capacity,complete,273,41,73,average_precision,0.294729492488291,0.15445048355041707,0.4437033263816822,exporter
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,B1,historical_logistic_structural,complete,273,41,73,average_precision,0.5396803105922541,0.3657365842141673,0.6778451646071169,exporter
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,B2,processed_importer_demand,complete,5024,60,37,macro_recall_at_3,0.2216216216216216,0.12162162162162163,0.3353378378378379,exporter_stage_entry
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,B2,gravity,complete,5024,60,37,macro_recall_at_3,0.35765765765765767,0.2216216216216216,0.4875675675675676,exporter_stage_entry
cocoa,entity_exclusion,exclude_hubs_and_bad_iso,B2,historical_logistic_demand_gravity,complete,5024,60,37,macro_recall_at_3,0.3846846846846847,0.2494144144144144,0.5117567567567568,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_50_kusd,A,size,complete,54026,3951,88,average_precision,0.25732905117215954,0.21730897666363722,0.30084246705500517,exporter
cocoa,threshold_outcome_only,threshold_50_kusd,A,gravity,complete,54026,3951,88,average_precision,0.24041588998210936,0.20987946504625876,0.2751160167530624,exporter
cocoa,threshold_outcome_only,threshold_50_kusd,A,historical_logistic_size_gravity,complete,54026,3951,88,average_precision,0.278412787686845,0.23999729073734818,0.31686418966976637,exporter
cocoa,threshold_outcome_only,threshold_50_kusd,B1,upstream_capacity,complete,277,67,74,average_precision,0.35490833640103864,0.25064619284056366,0.46020376392825985,exporter
cocoa,threshold_outcome_only,threshold_50_kusd,B1,historical_logistic_structural,complete,277,67,74,average_precision,0.5968864044725204,0.48905003827344024,0.7092921000134595,exporter
cocoa,threshold_outcome_only,threshold_50_kusd,B2,processed_importer_demand,complete,8997,136,67,macro_recall_at_3,0.15771144278606966,0.08623756218905472,0.23358208955223878,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_50_kusd,B2,gravity,complete,8997,136,67,macro_recall_at_3,0.24527363184079604,0.1638992537313433,0.3349502487562189,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_50_kusd,B2,historical_logistic_demand_gravity,complete,8997,136,67,macro_recall_at_3,0.2490049751243781,0.17211442786069653,0.336884328358209,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_100_kusd,A,size,complete,54026,2552,88,average_precision,0.1888506633846059,0.15546211746101044,0.22549482769775797,exporter
cocoa,threshold_outcome_only,threshold_100_kusd,A,gravity,complete,54026,2552,88,average_precision,0.17540441534520965,0.14782736652696182,0.20218200590421223,exporter
cocoa,threshold_outcome_only,threshold_100_kusd,A,historical_logistic_size_gravity,complete,54026,2552,88,average_precision,0.20618042697546898,0.1758792073129508,0.23655612731131725,exporter
cocoa,threshold_outcome_only,threshold_100_kusd,B1,upstream_capacity,complete,277,42,74,average_precision,0.292558606144657,0.15779438925094788,0.43358761594012873,exporter
cocoa,threshold_outcome_only,threshold_100_kusd,B1,historical_logistic_structural,complete,277,42,74,average_precision,0.5341015206173969,0.3513213528278392,0.6839011021854932,exporter
cocoa,threshold_outcome_only,threshold_100_kusd,B2,processed_importer_demand,complete,5855,72,42,macro_recall_at_3,0.20119047619047617,0.10464285714285715,0.32142857142857145,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_100_kusd,B2,gravity,complete,5855,72,42,macro_recall_at_3,0.326984126984127,0.20947420634920635,0.4524603174603175,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_100_kusd,B2,historical_logistic_demand_gravity,complete,5855,72,42,macro_recall_at_3,0.35079365079365077,0.22298611111111113,0.4870238095238095,exporter_stage_entry
