chain,sensitivity,slice,track,model,status,n,positives,clusters_or_entry_groups,primary_metric,primary_value,ci95_low,ci95_high,cluster_unit
oilseed-soy,threshold_outcome_only,threshold_100_kusd,B2,processed_importer_demand,complete,4776,74,34,macro_recall_at_3,0.18341503267973855,0.07691993464052288,0.32040441176470597,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_100_kusd,B2,gravity,complete,4776,74,34,macro_recall_at_3,0.11552287581699347,0.04239787581699347,0.21045343137254907,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_100_kusd,B2,historical_logistic_demand_gravity,complete,4776,74,34,macro_recall_at_3,0.15008169934640522,0.06506535947712419,0.25995098039215686,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_250_kusd,A,size,complete,34548,706,88,average_precision,0.08610978318214316,0.05424360102228777,0.13028299000138546,exporter
oilseed-soy,threshold_outcome_only,threshold_250_kusd,A,gravity,complete,34548,706,88,average_precision,0.06469343536280764,0.04306739080159281,0.10082669689324035,exporter
oilseed-soy,threshold_outcome_only,threshold_250_kusd,A,historical_logistic_size_gravity,complete,34548,706,88,average_precision,0.08310950376132206,0.0543565208392495,0.12598832729044782,exporter
oilseed-soy,threshold_outcome_only,threshold_250_kusd,B1,upstream_capacity,complete,86,22,51,average_precision,0.3104543675921959,0.1945328166073062,0.5274724697538556,exporter
oilseed-soy,threshold_outcome_only,threshold_250_kusd,B1,historical_logistic_structural,complete,86,22,51,average_precision,0.3989387257890362,0.23185027242501813,0.615768520057288,exporter
oilseed-soy,threshold_outcome_only,threshold_250_kusd,B2,processed_importer_demand,complete,3142,44,22,macro_recall_at_3,0.26212121212121214,0.10587121212121212,0.4186363636363637,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_250_kusd,B2,gravity,complete,3142,44,22,macro_recall_at_3,0.09632034632034632,0.007575757575757575,0.21555735930735936,exporter_stage_entry
oilseed-soy,threshold_outcome_only,threshold_250_kusd,B2,historical_logistic_demand_gravity,complete,3142,44,22,macro_recall_at_3,0.21103896103896103,0.06463744588744588,0.3701298701298701,exporter_stage_entry
oilseed-soy,persistence,active_at_least_3_of_5_years_above_100_kusd,A,size,complete,34548,500,88,average_precision,0.0681513827559982,0.037797673157922415,0.10644571093519829,exporter
oilseed-soy,persistence,active_at_least_3_of_5_years_above_100_kusd,A,gravity,complete,34548,500,88,average_precision,0.04472328803895379,0.02601587174362938,0.07147427095934694,exporter
oilseed-soy,persistence,active_at_least_3_of_5_years_above_100_kusd,A,historical_logistic_size_gravity,complete,34548,500,88,average_precision,0.06301036768244869,0.035718221419132466,0.10972846273519352,exporter
oilseed-soy,persistence,active_at_least_3_of_5_years_above_100_kusd,B1,upstream_capacity,complete,86,12,51,average_precision,0.20451623845793282,0.10945363616543652,0.3950393820918741,exporter
oilseed-soy,persistence,active_at_least_3_of_5_years_above_100_kusd,B1,historical_logistic_structural,complete,86,12,51,average_precision,0.261901156455692,0.11319513163594713,0.5455930514202164,exporter
